StateName,StateAbbreviation,SiteNameOfficial,SiteCode,PatientPopulation
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Jato Aka Adikpo,KK,2736
Benue,BE,Adikpo Katsina-Ala Primary Health Centre,KL,242
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Mkar,KM,6375
Benue,BE,Korinya Primary Health Center,KN,627
Benue,BE,St. Mary's Hospital - Okpoga,KP,1524
Benue,BE,Ikumbur Memorial clinic,KQ,2
Benue,BE,Kusa Erem Agbeede Health Clinic,KX,5
Benue,BE,Leke Clinic and Maternity,LE,140
Benue,BE,St. Luke's Hospital,LK,68
Benue,BE,Luter Health Clinic,LR,1
Benue,BE,Lord Is Saviour Clinic and Maternity,LS,153
Benue,BE,Buruku KP One Stop Shop			,MB,26
Benue,BE,St. Monica's Hospital -Adikpo,MD,4570
Benue,BE,Fr. Mathias Clinic,MS,722
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Mbaakon,MV,1340
Benue,BE,Mercy Clinic,MX,69
Benue,BE,Myom Hospital - Gboko,MY,892
Benue,BE,Northbank General Hospital,NB,545
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Wannune,NC,640
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Gbe,NE,616
Benue,BE,St. Daniel Hospital,NI,1
Benue,BE,Atekombo Comprehensive Health Center,NJ,1201
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,NK,177
Benue,BE,Mba Agberabu Primary Health Centre,NQ,10
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Ishua,NS,1
Benue,BE,New Life Clinic and Maternity,NW,1
Benue,BE,Anzembe Clinic,NZ,119
Benue,BE,Onmba Aondo Comprehensive Health Center,OC,48
Benue,BE,Otia Hospital - Otukpo,OH,5
Benue,BE,Oostra-Gum Clinic and Maternity,OS,746
Benue,BE,Progress Clinic,PC,30
Benue,BE,Kpe-Ambila Primary Health Centre,PE,265
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic -Aku,PF,182
Benue,BE,Phesset Clinic,PH,4
Benue,BE,Kpiliki Clinic and Maternity,PI,1
Benue,BE,Oturkpo General Hospital,PO,1008
Benue,BE,Akputu  Primary Health Center,PU,29
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Primary Health Center - Anber,QD,4
Benue,BE,Ikose Primary Health Center,QK,26
Benue,BE,Queens Clinic,QN,51
Benue,BE,King of Kings Clinic and Maternity,QQ,430
Benue,BE,Tor Tacha Primary Health Centre,QT,9
Benue,BE,Obarike-Ito General Hospital,RA,117
Benue,BE,Jor Maternal and Child Health Clinic,RM,218
Benue,BE,Royal Clinic and Maternity Wuese,RW,60
Benue,BE,Rahama Clinic and Maternity,RX,40
Benue,BE,Sahara Clinic,SA,17
Benue,BE,Salem Clinic - Gbor,SB,1
Benue,BE,Sankera General Hospital,SE,6223
Benue,BE,Sev-Av Foundation - Vandeikya,SF,1170
Benue,BE,Salem Hospital,SP,66
Benue,BE,Sandra Hospital,SQ,40
Benue,BE,Sev-Av Foundation - Gboko,SV,1530
Benue,BE,Tordonga Primary Health Center,TD,2595
Benue,BE,St. Thomas Hospital - Ihugh,TH,3410
Benue,BE,Three Brothers Transport Hospital - Gboko,TP,840
Benue,BE,Comprehensive Health Center Tse-Agbaragba			,TS,28
Benue,BE,Tse-Tiah Primary Health Centre,TT,32
Benue,BE,Tse-Agbaragba Primary Health Center,TU,53
Benue,BE,Vandeikya KP One Stop Shop -Virtual,TV,38
Benue,BE,Vandekiya KP One Stop Shop,TV,155
Benue,BE,Ushakaa Hospital,UA,326
Benue,BE,Ugba General Hospital,UB,1979
Benue,BE,Ugba General Hospital,UG,124
Benue,BE,Multicare Hospital,UJ,125
Benue,BE,Ugba Comprehensive Health Center,UP,971
Benue,BE,Bishop Murray Medical Center,UR,4377
Benue,BE,Uzer Local Government Health Center,UZ,2588
Benue,BE,Avaa Gbande Memorial Clinic and Maternity,VA,20
Benue,BE,St. Vincents Hospital,VI,1923
Benue,BE,Vandeikya General Hospital,VK,1005
Benue,BE,St. Vincent Aliade,VL,4606
Benue,BE,Mbagen Community Hospital - Abwa,WA,767
Benue,BE,Agwabi Primary Health Center,WB,234
Benue,BE,Woma Clinic and Maternity,WC,1103
Benue,BE,Wende Primary Health Center,WD,19
Benue,BE,Akumator Health Centre,WF,42
Benue,BE,Wannune General Hospital,WG,2516
Benue,BE,Farmter Clinic Abeda,WL,443
Benue,BE,Wannune General Hospital,WN,42
Benue,BE,Waapera Comprehensive Health Center,WP,172
Benue,BE,World Health System Sai,WR,1074
Benue,BE,Wuese Health Centre,WU,1
Benue,BE,Live Clinic		,WW,46
Benue,BE,Asukunya Primary Health Center,YA,145
Benue,BE,Tordoo Clinic,YH,21
Benue,BE,Yaakar Comprehensive Health Center,YK,130
Benue,BE,Yima Hospital,YL,245
Benue,BE,Nyam Ugbeh Clinic,YM,1501
Benue,BE,Tiortyu Local Government Health Center,YU,66
Benue,BE,St. Anthony's Hospital - Zaki Biam,ZB,5215
Benue,BE,Nazareth Hospital,ZH,22
Benue,BE,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital- Zaki Biam,ZI,4069
Benue,BE,Ukum KP One Stop Shop,ZM,1
Borno,BO,"State Specialist Hospital, Maiduguri",SM,59
Borno,BO,University of Maiduguri Teaching Hospital,UM,25
Ekiti,EK,Okesa Ekiti Comprehensive Health Center,CP,97
Ekiti,EK,"Federal Medical Center, Ido-Ekiti",DE,792
Ekiti,EK,"Ekiti State University Teaching Hospital, Ado-Ekiti",EK,1154
Ekiti,EK,Emure Ekiti General Hospital,EM,107
Ekiti,EK,Ijero Ekiti State Specialist Hospital,JE,117
Ekiti,EK,Ikere Ekiti State Specialist Hospital,KE,270
Ekiti,EK,Omuo Ekiti General Hospital,OM,114
Ekiti,EK,Oye Ekiti General Hospital,OY,63
Ekiti,EK,Ilawe Ekiti Comprehensive Health Center,WE,61
Ekiti,EK,General Hospital Iye,YE,38
Ekiti,EK,Iyin Ekiti General Hospital,YN,70
Enugu,EN,University of Nigeria Teaching Hospital,UN,35
Kaduna,KD,Ahmadu Bello University Teaching Hospital,AB,36
Lagos,LA,"Agboju Primary Health Centre ",AG,195
Lagos,LA,Ancilla Catholic Hospital,AN,168
Lagos,LA,"Akonwonjo Primary Health Centre ",AU,26
Lagos,LA,Christ the King Catholic Hospital - Akowonjo,CK,96
Lagos,LA,COUNTY HOSPITAL,CR,17
Lagos,LA,Cele Apata Primary Health Center,CX,4
Lagos,LA,Egan Primary Health Center,EG,9
Lagos,LA,Ikeja Primary Health Center,EJ,70
Lagos,LA,General Hospital Epe,EP,7
Lagos,LA,St. Kizito Catholic Clinic Eti Osa,ET,470
Lagos,LA,Okunraye Primary Health Center,EY,5
Lagos,LA,Adefemi Hospital,FH,34
Lagos,LA,"Ifako Primary Health Centre ",FK,374
Lagos,LA,"Falomo Police Hospital ",FL,426
Lagos,LA,Festac Primary Health Center,FX,34
Lagos,LA,Alimosho General Hospital,GA,2784
Lagos,LA,"Gowon Estate Hospital - Ipaja    ",GE,101
Lagos,LA,Aguda Primary Health Center,GF,3
Lagos,LA,Agodo Primary Health Center,GO,83
Lagos,LA,General Hospital Isolo,GS,8
Lagos,LA,Adeniyi Jones Millennium Development Goal (MDG) Primary Health Center,GT,14
Lagos,LA,Holy Family Hospital Lagos,HF,136
Lagos,LA,HAMKAD  HOSPITAL,HK,2
Lagos,LA,HILL STAR HOSPITAL,HV,83
Lagos,LA,Ogbomoshotedo Primary Health Center,HZ,2
Lagos,LA,General Hospital Ifako Ijaiye,IF,1664
Lagos,LA,Isheri Oshun Primary Health Center,IH,14
Lagos,LA,Ibeju-Lekki General Hospital,IL,955
Lagos,LA,Ipaja Primary Health Centre,IP,155
Lagos,LA,"Iru Primary Health Centre ",IR,100
Lagos,LA,Ajeabo Primary Health Centre,JB,170
Lagos,LA,Ojokoro Primary Health Center,JP,8
Lagos,LA,Heartland Alliance Ilupeju OSS			,LA,73
Lagos,LA,Obalende Primary Health Center,LB,38
Lagos,LA,Lagos State University Teaching Hospital,LG,4854
Lagos,LA,St. Leo Medical Centre,LM,68
Lagos,LA,Lagoon Hospital Ikeja,LN,4
Lagos,LA,Ajegunle-Ilo Primary Health Center,LP,15
Lagos,LA,Lagos University Teaching Hospital (LUTH),LU,5992
Lagos,LA,68 Military Hospital (Nigerian Army Reference Hospital),MH,7
Lagos,LA,MOTHER THERESA MEDICAL CENTRE - IDIMU,MT,143
Lagos,LA,Mushin General Hospital,MU,694
Lagos,LA,BMM HOSPITAL,MZ,70
Lagos,LA,Nigerian Institute of Medical Research (NIMR),NM,49
Lagos,LA,Oke-Ira Primary Health Center,OI,4
Lagos,LA,Ojodu Primary Health Care,OJ,520
Lagos,LA,Ogba-Oluwole Primary Health Center,OO,71
Lagos,LA,Igbo-Efon Primary Health Center,OZ,86
Lagos,LA,"Akinyele Primary Health Centre ",PR,17
Lagos,LA,Ikate Primary Health Center,PT,68
Lagos,LA,Palm Avenue Primary Health Center,PV,257
Lagos,LA,"Mary the Queen Hospital - Akowonjo  ",QU,117
Lagos,LA,"Aregbesola Primary Health Centre ",RB,822
Lagos,LA,DURO SOLEYE HOSPITAL,RD,14
Lagos,LA,El-Rhema Vision Hospital - Gowon Estate,RH,3
Lagos,LA,Aboru Primary Health Center,RO,35
Lagos,LA,Okerube Primary Health Center,RU,6
Lagos,LA,Regina Mundi Hospital,RZ,163
Lagos,LA,Isolo Road Primary Health Center,SJ,15
Lagos,LA,St. Kizito Clinic Surulere,SU,10
Lagos,LA,St. Joseph Mission Clinic Kirikiri,SY,65
Lagos,LA,UPTOWN MEDICAL CENTER,WT,3
Lagos,LA,Agbado Primary Health Care Center,WV,36
Lagos,LA,Olusosun Primary Health Center,XU,15
Lagos,LA,Ayobo Primary Health Centre,YP,11
Lagos,LA,Awoyaya Primary Health Center,YY,7
Lagos,LA,Wasimi Primary Health Center,ZV,8
Ogun,OG,Babcock University Teaching Hospital (BUTH),BB,12
Ogun,OG,Olabisi Onabanjo University Teaching Hospital (OOUTH),BJ,1600
Ogun,OG,Idi Iroko General Hospital,DR,258
Ogun,OG,Ifo General Hospital,FO,1452
Ogun,OG,"Federal Medical center, Abeokuta",FT,1382
Ogun,OG,Ita-Alapo Primary Health Center,IA,1
Ogun,OG,Ijoko Primary Health Center,II,200
Ogun,OG,State Hospital - Ijebu Ode,IJ,2798
Ogun,OG,Jesus is Love and Power Catholic Hospital - Ifo,JF,32
Ogun,OG,Ogijo Primary Health Care,JG,122
Ogun,OG,St. Mary's Clinics - Ajilete,JL,161
Ogun,OG,"Sacred Heart Catholic Hospital, Lantoro",LT,1635
Ogun,OG,Ota Primary Health Center,OP,395
Ogun,OG,Ogere Primary Health Center - Ikenne,RQ,1
Ogun,OG,Specialist Hospital - Ilaro,SI,483
Ogun,OG,Isara State Hospital,SS,1
Ogun,OG,Isaga Owode Health Center,SW,173
Ogun,OG,Makun Primary Health Care,UD,25
Ogun,OG,Agbado Primary Health Care Center,VJ,75
Ogun,OG,Oba Ademola II Maternity Hospital,XJ,41
Ogun,OG,Oke-Ilewo Family Health Center,XK,2
Ogun,OG,Ita-Osu Primary Health Center,XL,28
Ogun,OG,Okeoyinbo Primary Health Center	,XO,2199
Ogun,OG,Sabo Primary Health Care Center,XY,2
Ogun,OG,Olose Primary Health Center,XZ,18
Ogun,OG,Ayetoro General Hospital,YT,141
Ondo,ON,"Bolorunduro General Hospital ",BD,43
Ondo,ON,Oke Aro Basic Health Center,BH,3
Ondo,ON,"Mother and Child Hospital, Ondo",CM,206
Ondo,ON,Ido-Ani General Hospital,DA,11
Ondo,ON,Idanre General Hospital,DN,199
Ondo,ON,Iju Itaogbolu General Hospital,JO,124
Ondo,ON,Igbokoda General Hospital,KD,169
Ondo,ON,Ipe Akoko General Hospital,KO,56
Ondo,ON,"State Specialist Hospital, Ikare",KR,634
Ondo,ON,"State Specialist Hospital, Akure",KU,2274
Ondo,ON,Ile-Oluji General Hospital,LJ,123
Ondo,ON,"Model Comprehensive Health Centre, Ifon ",MF,9
Ondo,ON,Moferere-Oja Comprehensive Health Center,MJ,38
Ondo,ON,"Mother And Child Hospital, Akure ",ML,208
Ondo,ON,Irun Akoko General Hospital,NA,61
Ondo,ON,Iju-Odo National Primary Health Center,NP,286
Ondo,ON,Oba-Ile Comprehensive Health Center,OB,32
Ondo,ON,"State Specialist Hospital, Ondo",OD,923
Ondo,ON,Ore General Hospital,OR,808
Ondo,ON,Okitipupa State Specialist Hospital,OT,478
Ondo,ON,"Federal Medical Centre, Owo",OW,1262
Ondo,ON,St. Catherine's Hospital - Iwaro-Oka,QC,467
Ondo,ON,Error,QCCCCC,15
Ondo,ON,Arakale Comprehensive Health Center,RK,261
Ondo,ON,Igbotako General Hospital,TA,49
Ondo,ON,St. Theresa's Catholic Health Center - Odo-Irele,TQ,1
Ondo,ON,Ode-Irele Comprehensive Health Center	,VQ,46
Ondo,ON,Iwaro-Oka General Hospital - Akoko,WK,126
Ondo,ON,Owo General Hospital,WO,180
Ondo,ON,Ifon Basic Health Centre,XE,32
Ondo,ON,Maria Mater Misericordiae Catholic Hospital - Oke-Idera,ZJ,10
Ondo,ON,Isaipen Basic Health Center,ZU,38
Osun,OS,Seventh Day Adventist Hospital Ile-Ife,DL,227
Osun,OS,Ede Specialist Hospital,ED,198
Osun,OS,Our Lady of Fatima Catholic Hospital - Jaleyemi,FC,116
Osun,OS,State Hospital Iwo,IW,418
Osun,OS,Ladoke Akintola University Teaching Hospital - Oshogbo,LQ,1952
Osun,OS,Obafemi Awolowo University Teaching Hospital (OAUTH) Complex,OA,1706
Osun,OS,Ila Orangun State Hospital,PL,152
Osun,OS,Omoda Primary Health Center,QV,128
Osun,OS,Ikire Specialist Hospital,SK,229
Osun,OS,Wesley Guild Hospital Ilesha,WS,175
Osun,OS,Obajoko Ila Primary Health Care	,YV,35
Osun,OS,St. Zeno Catholic Hospital-Iwo,ZL,87
Oyo,OY,Baabo Primary Health Center,AA,11
Oyo,OY,Molete Primary Health Centre,AC,3
Oyo,OY,Adeoyo Maternity Hospital,AD,3378
Oyo,OY,Aafin Primary Health Centre,AF,17
Oyo,OY,St. Anne's Anglican Hospital - Molete Ibadan,AS,399
Oyo,OY,Ogbooro Primary Health Center,BF,23
Oyo,OY,Baptist Medical Center Saki,BM,367
Oyo,OY,Ikose Primary Health Center	,BQ,1
Oyo,OY,Aba Emu Primary Health Centre,EF,18
Oyo,OY,"St. Mary's Catholic Hospital, Eleta",EH,532
Oyo,OY,Elekuro Primary Health Centre,EL,34
Oyo,OY,Awotunde Olosunde Primary Health Centre,FE,2
Oyo,OY,"General Hospital, Okeho",HO,490
Oyo,OY,"General Hospital, Iseyin",IS,419
Oyo,OY,Igbeti General Hospital,IT,245
Oyo,OY,Jericho Specialist Hospital,JH,14
Oyo,OY,Igboho General Hospital,JQ,39
Oyo,OY,"General Hospital, Kisi",KS,144
Oyo,OY,Our Lady's Catholic Hospital - Iseyin,LI,257
Oyo,OY,Bodija Olive Primary Health Center	,LO,2
Oyo,OY,Ori Eru Primary Health Centre,OE,21
Oyo,OY,Adaramagbo Olomi Primary Health Center,OF,113
Oyo,OY,Ogbomosho State Hospital,OG,1177
Oyo,OY,Olorunsogo Model Primary Health Center,OQ,174
Oyo,OY,Otu Comprehensive Health Centre,OX,9
Oyo,OY,Gambari Primary Health Center	,PP,128
Oyo,OY,Alapafon Primary Health Center,PQ,32
Oyo,OY,Apete Primary Health Centre,PW,8
Oyo,OY,Ipapo Primary Health Centre,PX,167
Oyo,OY,Shasha Primary Health Center,QE,6
Oyo,OY,Katangua Primary Health Center,QG,29
Oyo,OY,Agbongbon Health Centre,QI,18
Oyo,OY,Odinjo Primary Health Centre,QX,56
Oyo,OY,Ring Road State Hospital,RS,138
Oyo,OY,University College Hospital,UC,5522
Oyo,OY,Alegongo Primary Health Center,VG,80
Oyo,OY,Alhaja Sarat Adesina Health Center - Ogbere Baba	,VS,4
Oyo,OY,Ojaigbo (Ibrahim Taiwo) Primary Health Center,VT,112
Oyo,OY,Iwo Road Primary Health Centre,WI,1
Oyo,OY,St. Peter's General Hospital - Aremo,WM,2
Oyo,OY,Adifase-Apata Primary Health Centre,WZ,146
Oyo,OY,Adebayo Alata Primary Health Centre,XA,1
Oyo,OY,Bashorun Oluwonla Primary Health Centre,XB,30
Oyo,OY,Ilora General Hospital,XF,142
Oyo,OY,Abogunde Baaki Health Centre,XG,4
Oyo,OY,Oba Adeyemi Primary Health Centre,XH,6
Oyo,OY,Ilora Primary Health Centre,XI,72
Oyo,OY,Monatan Primary Health Centre,XM,2
Oyo,OY,Iresa Adu Primary Health Centre,XQ,106
Oyo,OY,Ojoo Primary Health Centre,XR,38
Oyo,OY,Isale Taba Model Primary Health Centre,XT,12
Oyo,OY,Omi Adio Primary Health Centre,XW,7
Oyo,OY,Okeadu Primary Health Center,YC,61
Oyo,OY,Oniyanrin Primary Health Centre,YR,17
Oyo,OY,Ayeye Maternity Health Center,YW,7
Oyo,OY,Idi Ogungun Primary Health Centre,ZD,2
Oyo,OY,Aperin Oniyere Primary Health Centre,ZP,53
Oyo,OY,"Iseke Maternity Centre, Oyo",ZT,29
Oyo,OY,Boluwaji Primary Health Centre,ZW,2
Oyo,OY,Moniya Primary Health Centre,ZY,68
Plateau,PL,Angware General Hospital,AW,110
Plateau,PL,Barkin Ladi General Hospital,BL,1437
Plateau,PL,Bingham University Teaching Hospital,BU,3211
Plateau,PL,Amper Central Primary Health Care Center,CQ,22
Plateau,PL,Amper Model Primary Health Care Center,CW,3
Plateau,PL,Church of Christ in Nigeria (COCIN) Primary Health Center - Daffo,DF,6
Plateau,PL,Dengi General Hospital,DG,836
Plateau,PL,Dadin Kowa Comprehensive Health Center,DK,360
Plateau,PL,Church of Christ in Nigeria (COCIN) Primary Health Center - Shendam,DV,78
Plateau,PL,Dawaki Primary Health Care Center,DW,31
Plateau,PL,Evangelical Church of West Africa (ECWA) Comprehensive Hospital - Bukuru,EC,469
Plateau,PL,Evangelical Church of West Africa (ECWA) Health Clinic - Miango,EV,5
Plateau,PL,Faith Alive Foundation,FA,5551
Plateau,PL,Bene Clinic,FB,10
Plateau,PL,Town Clinic Primary Health Center,FD,81
Plateau,PL,COMPREHENSIVE HEALTH CENTER JUTH GINDIRI,GD,14
Plateau,PL,HWOLSHE MEDICAL CENTER,HW,1
Plateau,PL,Jos University Teaching Hospital,JU,8358
Plateau,PL,Kwalla General Hospital,KW,670
Plateau,PL,Evangelical Church of West Africa (ECWA) Health Clinic - Tudun Wada,KZ,21
Plateau,PL,May Hospital - Shendam,MC,255
Plateau,PL,Mangu General Hospital,MG,623
Plateau,PL,Mabudi Primary Health Care Center,MQ,17
Plateau,PL,Our Lady of Apostle (OLA) Hospital - Jos,OL,2057
Plateau,PL,Pankshin General Hospital,PK,1083
Plateau,PL,Plateau State Specialist Hospital,PS,4628
Plateau,PL,CCDP Hospital - Panyam,PY,828
Plateau,PL,Shendam B Primary Health Center,QB,23
Plateau,PL,"Church of Christ in Nigeria (COCIN) Hospital and Rehabilitation Center, Mangu",RC,2022
Plateau,PL,Seventh Day Adventist (SDA) Hospital - Jengre,SD,476
Plateau,PL,Shendam General Hospital,SH,2629
Plateau,PL,Solat Women Hospital,SL,598
Plateau,PL,Tunkus General Hospital,TK,513
Plateau,PL,Shendam A Primary Health Center,UE,9
Plateau,PL,Demshin Primary Health Center,UF,1
Plateau,PL,Kerang Primary Health Center,UQ,1
Plateau,PL,St. Virgillus Catholic Rural Health Center,VC,793
Plateau,PL,Vom Christian Hospital,VH,873
Plateau,PL,Tundun Wada Primary Health Center,VX,57
Plateau,PL,Wubang Primary Health Care Center,WQ,8
Plateau,PL,Rayfield Primary Health Center,XC,40
Plateau,PL,Bukuru Express Primary Health Center,XD,16
Plateau,PL,Bukuru Central Primary Health Centre,XP,9
Plateau,PL,Yelwa East Primary Health Center,YQ,11
Plateau,PL,OUR LADY OF APOSTLES ZAWAN,ZA,6
Plateau,PL,Gumsher Primary Health Care Center,ZG,16
Plateau,PL,Zamko Comprehensive Health Center,ZK,1474
Yobe,YO,"Federal Medical Center, Nguru",NU,1
